sim_num,mse_mean_healthy,mse_mean_diseased,mse_std_healthy,mse_std_diseased,n_samples,simulation_time,ka0,kv0,ka1,kv1,n_features_selected_0,n_features_selected_1,cache_hit_rate_0,cache_hit_rate_1
64,0.06416326,0.31701058,0.014054355,0.085557185,5000,1.0055179595947266,50,50,10,75,1,1,0,0
65,0.009238667,0.31096515,0.004460169,0.122986294,5000,0.8825128078460693,75,100,10,50,1,1,0,0
66,0.097657695,0.32583487,0.003935422,0.06784842,5000,0.8967428207397461,30,75,5,75,1,1,0,0
67,0.014555121,0.862707,0.007368089,0.3572263,5000,0.8578600883483887,100,75,15,100,1,1,0,0
68,0.07348692,0.2557745,0.026945157,0.10424057,5000,0.7090167999267578,50,75,5,100,1,1,0,0
69,0.020410914,0.25539953,0.0027873735,0.106265575,5000,0.9127287864685059,75,100,5,75,1,1,0,0
70,0.018377565,0.36800948,0.006773036,0.100185476,5000,0.9001903533935547,50,75,5,100,1,1,0,0
71,0.06137348,0.32537645,0.016292349,0.08300408,5000,0.9900000095367432,100,75,10,75,1,1,0,0
72,0.08316252,0.7114689,0.0030931123,0.26321796,5000,0.6638641357421875,30,100,15,100,1,1,0,0
73,0.069473416,0.24071711,0.004703546,0.06486072,5000,0.991520881652832,75,50,5,100,1,1,0,0
74,0.006554436,0.88065994,0.006627759,0.3030304,5000,1.3695647716522217,75,100,15,50,1,1,0,0
75,0.0705746,0.2739728,0.008576236,0.075443506,5000,0.951409101486206,50,50,5,50,1,1,0,0
76,0.011197159,0.5069615,0.011298323,0.122177504,5000,0.7989721298217773,100,30,10,100,1,1,0,0
77,0.05081495,0.26823163,0.008680506,0.035916936,5000,1.0200350284576416,15,75,5,50,1,1,0,0
78,0.08864285,0.40250468,0.019996768,0.12173075,5000,1.0341711044311523,30,100,10,100,1,1,0,0
79,0.085568674,0.22192088,0.0022589546,0.060952965,5000,0.8316440582275391,30,100,5,100,1,1,0,0
80,0.038603216,0.8135687,0.0021691776,0.23007964,5000,0.9296529293060303,75,100,10,100,1,1,0,0
81,0.013769762,0.40772402,0.026938079,0.15105507,5000,0.8392510414123535,100,15,10,100,1,1,0,0
82,0.07139084,0.72280544,0.0019820195,0.30214137,5000,0.7647440433502197,100,100,10,50,1,1,0,0
83,0.024307752,1.5441744,0.007971789,0.57231706,5000,0.9145808219909668,50,75,15,75,1,1,0,0
84,0.03075715,1.4304445,0.013284858,0.5396165,5000,1.0738978385925293,30,30,15,30,1,1,0,0
85,0.004972858,0.41153488,0.0061124167,0.1477472,5000,1.310931921005249,100,75,10,20,1,1,0,0
86,0.010919855,0.3086084,0.009509008,0.07539,5000,0.8389451503753662,100,50,10,75,1,1,0,0
87,0.019063452,0.3747365,0.0061063836,0.15917288,5000,0.9410569667816162,75,100,10,50,1,1,0,0
88,0.013870963,0.55731297,0.011658026,0.1356427,5000,1.0376980304718018,75,100,15,100,1,1,0,0
89,0.058852125,0.23867781,0.006125862,0.05760299,5000,1.0229508876800537,100,100,5,75,1,1,0,0
90,0.014476272,0.22976026,0.003769962,0.03164507,5000,0.970505952835083,75,75,5,100,1,1,0,0
91,0.05609824,0.26763558,0.011046412,0.10278091,5000,0.9571471214294434,100,50,5,10,1,1,0,0
92,0.023943905,0.39427924,0.010626289,0.06303583,5000,0.8477649688720703,30,100,10,100,1,1,0,0
93,0.06271105,0.3935704,0.006552682,0.12283367,5000,0.8960089683532715,75,100,5,100,1,1,0,0
94,0.010937149,0.32268444,0.0120569365,0.06929837,5000,0.7925307750701904,100,75,10,100,1,1,0,0
95,0.0075908117,4.3332243,0.015716136,3.609446,5000,0.8797690868377686,100,30,10,100,1,1,0,0
96,0.016894164,0.20569903,0.0016211926,0.06078186,5000,1.1208229064941406,50,100,5,100,1,1,0,0
97,0.0075069335,0.3340057,0.00675621,0.14688265,5000,1.117954969406128,100,100,10,50,1,1,0,0
98,0.062049903,0.47195527,0.0059092315,0.11250469,5000,0.9731450080871582,100,75,10,75,1,1,0,0
99,0.06532136,0.3925021,0.0014366488,0.05225133,5000,1.0031781196594238,50,100,10,100,1,1,0,0
100,0.06311685,0.34668174,0.0060695494,0.1171995,5000,0.9908528327941895,75,100,10,75,1,1,0,0
